"","lu_rail_dlr","recorded_date","committed_date_time","source","crime_desc","victim_gender","age","diff","age_n","victim_year_of_birth","historic","futurecrimes"
"1","LONDON UNDERGROUND",2016-02-24,2016-01-26 18:40:00,"Text","Sexual Assault On A Female Aged 13 And Over No Penetration","F","26",28d 5H 20M 0S,26,1990,1,0
"2","NATIONAL RAIL",2016-02-24,2016-02-21 08:45:00,"Public non emergency","Sexual Offences - Committing An Act Outraging Public Decency","Regina Offence",NA,2d 15H 15M 0S,NA,NA,1,0
"3","NATIONAL RAIL",2016-02-25,2016-02-19 21:28:00,"Public non emergency","Sexual Assault On A Female Aged 13 And Over No Penetration","F","Not Known",5d 2H 32M 0S,NA,NA,1,0
"4","NATIONAL RAIL",2016-02-25,2016-02-19 22:30:00,"HO Police","Sexual Assault On A Female Aged 13 And Over No Penetration","F","17",5d 1H 30M 0S,17,1999,1,0
"5","LONDON UNDERGROUND",2016-02-25,2016-02-19 23:15:00,"CAD","Sexual Assault On A Female Aged 13 And Over No Penetration","F","25",5d 0H 45M 0S,25,1991,1,0
"6","DLR",2016-02-25,2016-02-21 11:42:00,"Rail non emergency","Exposure","F","52",3d 12H 18M 0S,52,1964,1,0
"7","LONDON UNDERGROUND",2016-02-25,2016-02-24 23:30:00,"HO Police","Sexual Assault On A Female Aged 13 And Over No Penetration","F","37",30M 0S,37,1979,0,0
"8","LONDON UNDERGROUND",2016-02-25,2016-02-25 17:30:00,"Rail non emergency","Sexual Assault On A Female Aged 13 And Over No Penetration","F","Not Known",-17H -30M 0S,NA,NA,0,0
"9","NATIONAL RAIL",2016-02-25,2016-02-24 14:40:00,"BTP","Sexual Assault On A Female Aged 13 And Over No Penetration",NA,"Not Known",9H 20M 0S,NA,NA,0,0
"10","NATIONAL RAIL",2016-02-25,2016-02-19 21:05:00,"Not Stated","Sexual Assault On A Female Aged 13 And Over No Penetration","F","28",5d 2H 55M 0S,28,1988,1,0
"11","LONDON UNDERGROUND",2016-02-26,2016-02-25 19:08:00,"Public non emergency","Sexual Assault On A Female Aged 13 And Over No Penetration","F","33",4H 52M 0S,33,1983,0,0
"12","LONDON UNDERGROUND",2016-02-26,2016-02-22 08:55:00,"Public non emergency","Sexual Assault On A Female Aged 13 And Over No Penetration","F","Not Known",3d 15H 5M 0S,NA,NA,1,0
"13","LONDON UNDERGROUND",2016-02-26,2016-02-17 07:00:00,"Text","Sexual Assault On A Female Aged 13 And Over No Penetration","F","24",8d 17H 0M 0S,24,1992,1,0
"14","LONDON UNDERGROUND",2016-02-26,2016-02-21 17:30:00,"Email","Sexual Assault On A Female Aged 13 And Over No Penetration","F","16",4d 6H 30M 0S,16,2000,1,0
"15","LONDON UNDERGROUND",2016-02-26,2016-02-23 08:30:00,"BTP Radio","Sexual Assault On A Female Aged 13 And Over No Penetration","F","20",2d 15H 30M 0S,20,1996,1,0
"16","NATIONAL RAIL",2016-02-26,2016-02-23 15:00:00,"Rail non emergency","Sexual Assault On A Female Aged 13 And Over No Penetration","F","Not Known",2d 9H 0M 0S,NA,NA,1,0
"17","LONDON UNDERGROUND",2016-02-27,2016-02-18 08:00:00,"Public non emergency","Sexual Offences - Committing An Act Outraging Public Decency","Regina Offence",NA,8d 16H 0M 0S,NA,NA,1,0
"18","NATIONAL RAIL",2016-02-27,2016-02-25 00:05:00,"Public non emergency","Sexual Offences - Committing An Act Outraging Public Decency","Regina Offence",NA,1d 23H 55M 0S,NA,NA,1,0
"19","NATIONAL RAIL",2016-02-27,2012-07-22 08:59:00,"Not Stated","Sexual Offences - Committing An Act Outraging Public Decency","Regina Offence",NA,3y 7m 4d 15H 1M 0S,NA,NA,1,0
"20","NATIONAL RAIL",2016-02-28,2016-02-28 07:10:00,"Rail non emergency","Sexual Assault On A Female Aged 13 And Over No Penetration","F","41",-7H -10M 0S,41,1975,0,0
"21","DLR",2016-02-28,2016-02-28 17:03:00,"Rail non emergency","Sexual Assault On A Female Aged 13 And Over No Penetration",NA,"Not Known",-17H -3M 0S,NA,NA,0,0
"22","LONDON UNDERGROUND",2016-02-29,2016-02-24 17:55:00,"Public non emergency","Sexual Offences - Committing An Act Outraging Public Decency","Regina Offence",NA,4d 6H 5M 0S,NA,NA,1,0
"23","LONDON UNDERGROUND",2016-02-29,2016-02-24 22:03:00,"Other police force","Sexual Offences - Committing An Act Outraging Public Decency","Regina offence",NA,4d 1H 57M 0S,NA,NA,1,0
"24","NATIONAL RAIL",2016-02-29,2016-02-27 05:53:00,"HO Police","Sexual Assault On A Male Aged 13 And Over No Penetration","M","Not Known",1d 18H 7M 0S,NA,NA,1,0
"25","NATIONAL RAIL",2016-02-29,2016-02-24 20:55:00,"Text","Exposure","F","36",4d 3H 5M 0S,36,1980,1,0
"26","NATIONAL RAIL",2016-02-29,2016-02-29 08:40:00,"BTP Radio","Sexual Assault On A Female Aged 13 And Over No Penetration","F","28",-8H -40M 0S,28,1988,0,0
"27","LONDON UNDERGROUND",2016-02-29,2016-02-22 19:20:00,"Text","Sexual Assault On A Female Aged 13 And Over No Penetration","F","30",6d 4H 40M 0S,30,1986,1,0
"28","LONDON UNDERGROUND",2016-03-01,2016-02-27 23:08:00,"Email","Sexual Assault On A Female Aged 13 And Over No Penetration","F","32",2d 0H 52M 0S,32,1984,1,0
"29","LONDON UNDERGROUND",2016-03-01,2016-02-29 09:00:00,"Public non emergency","Sexual Assault On A Female Aged 13 And Over No Penetration","F","22",15H 0M 0S,22,1994,0,0
"30","NATIONAL RAIL",2016-03-01,2016-03-01 07:08:00,"BTP Radio","Sexual Assault On A Female Aged 13 And Over No Penetration","F","29",-7H -8M 0S,29,1987,0,0
"31","LONDON UNDERGROUND",2016-03-02,2016-03-02 09:33:00,"BTP Radio","Sexual Assault On A Female Aged 13 And Over No Penetration","F","16",-9H -33M 0S,16,2000,0,0
"32","LONDON UNDERGROUND",2016-03-02,2016-02-26 23:00:00,"Text","Sexual Assault On A Female Aged 13 And Over No Penetration","F","30",4d 1H 0M 0S,30,1986,1,0
"33","LONDON UNDERGROUND",2016-03-02,2015-11-30 22:49:00,"Rail non emergency","Sexual Offences - Committing An Act Outraging Public Decency","Regina Offence",NA,3m 1d 1H 11M 0S,NA,NA,1,0
"34","DLR",2016-03-02,2016-02-29 18:00:00,"Text","Sexual Assault On A Female Aged 13 And Over No Penetration","F","25",1d 6H 0M 0S,25,1991,1,0
"35","LONDON UNDERGROUND",2016-03-02,2016-03-02 18:20:00,"BTP","Sexual Assault On A Male Aged 13 And Over No Penetration","M","27",-18H -20M 0S,27,1989,0,0
"36","LONDON UNDERGROUND",2016-03-03,2016-03-03 08:10:00,"CAD","Sexual Assault On A Female Child Under 13 No Penetration","F","14",-8H -10M 0S,14,2002,0,0
