"","rural_urban","favorite_count","retweet_count","official_private"
"1","Urban",1,2,"Official"
"2","Urban",0,1,"Official"
"3","Urban",0,1,"Official"
"4","Urban",1,0,"Official"
"5","Urban",0,0,"Official"
"6","Urban",2,0,"Official"
"7","Urban",0,0,"Official"
"8","Urban",0,0,"Official"
"9","Urban",0,1,"Official"
"10","Rural",0,0,"Official"
"11","Urban",0,0,"Official"
"12","Urban",1,0,"Official"
"13","Urban",0,0,"Official"
"14","Urban",0,0,"Official"
"15","Urban",3,1,"Official"
"16","Urban",3,5,"Official"
"17","Urban",0,0,"Official"
"18","Rural",0,0,"Official"
"19","Urban",0,0,"Official"
"20","Urban",0,1,"Official"
"21","Urban",0,4,"Official"
"22","Rural",0,0,"Official"
"23","Urban",0,0,"Official"
"24","Urban",1,0,"Official"
"25","Urban",1,0,"Official"
"26","Urban",0,2,"Official"
"27","Urban",1,0,"Official"
"28","Urban",2,1,"Official"
"29","Urban",2,0,"Official"
"30","Urban",0,1,"Official"
"31","Rural",0,0,"Official"
"32","Urban",0,1,"Official"
"33","Rural",0,0,"Official"
"34","Urban",0,0,"Official"
"35","Rural",0,0,"Official"
"36","Urban",1,0,"Official"
"37","Urban",3,1,"Official"
"38","Urban",1,0,"Official"
"39","Urban",0,0,"Official"
"40","Urban",1,0,"Official"
"41","Urban",0,0,"Official"
"42","Urban",0,1,"Official"
"43","Urban",1,0,"Official"
"44","Urban",1,2,"Official"
"45","Rural",0,0,"Official"
"46","Urban",6,1,"Official"
"47","Urban",0,0,"Official"
"48","Urban",0,0,"Official"
"49","Urban",0,0,"Official"
"50","Rural",7,1,"Official"
"51","Urban",2,2,"Official"
"52","Urban",1,4,"Official"
"53","Urban",0,0,"Official"
"54","Urban",4,0,"Official"
"55","Urban",1,0,"Official"
"56","Rural",1,0,"Official"
"57","Urban",0,0,"Official"
"58","Urban",1,2,"Official"
"59","Urban",0,0,"Official"
"60","Rural",0,0,"Official"
"61","Urban",0,0,"Official"
"62","Urban",1,3,"Official"
"63","Rural",1,0,"Official"
"64","Urban",0,1,"Official"
"65","Urban",0,1,"Official"
"66","Urban",1,0,"Official"
"67","Urban",1,0,"Official"
"68","Urban",1,1,"Official"
"69","Urban",0,1,"Official"
"70","Urban",0,0,"Official"
"71","Urban",0,0,"Official"
"72","Urban",1,0,"Official"
